hand_idx,p1_card,p2_card,p1_first_action,p1_actions,all_actions,reward_p1,cum_profit,pot_won,winner,ended_by,is_bluff,n_actions,agent_stack,opp_stack,opponent
0,q,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,-5.0,20.0,p2,fold,False,3,145.0,135.0,loose_aggressive
1,k,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,0.0,10.0,p1,showdown,False,2,145.0,145.0,loose_aggressive
2,j,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,-5.0,20.0,p2,fold,False,3,145.0,135.0,loose_aggressive
3,j,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,-10.0,20.0,p2,fold,False,3,145.0,135.0,loose_aggressive
4,q,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,-15.0,20.0,p2,fold,False,3,145.0,135.0,loose_aggressive
5,k,j,check,"['check', 'call']","[('p1', 'check'), ('p2', 'min_raise'), ('p1', 'call')]",10.0,-5.0,20.0,p1,showdown,False,3,145.0,140.0,loose_aggressive
6,j,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,-10.0,20.0,p2,fold,False,3,145.0,135.0,loose_aggressive
7,q,j,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'min_raise'), ('p1', 'fold')]",-5.0,-15.0,15.0,p2,fold,False,3,145.0,140.0,loose_aggressive
8,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,-20.0,10.0,p2,showdown,False,2,145.0,145.0,loose_aggressive
9,k,j,check,"['check', 'call']","[('p1', 'check'), ('p2', 'min_raise'), ('p1', 'call')]",10.0,-10.0,20.0,p1,showdown,False,3,145.0,140.0,loose_aggressive
10,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,-5.0,10.0,p1,showdown,False,2,145.0,145.0,loose_aggressive
11,k,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,0.0,10.0,p1,showdown,False,2,145.0,145.0,loose_aggressive
12,q,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,-5.0,20.0,p2,fold,False,3,145.0,135.0,loose_aggressive
13,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,0.0,10.0,p1,showdown,False,2,145.0,145.0,loose_aggressive
14,k,j,check,"['check', 'call']","[('p1', 'check'), ('p2', 'min_raise'), ('p1', 'call')]",10.0,10.0,20.0,p1,showdown,False,3,145.0,140.0,loose_aggressive
15,k,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,15.0,10.0,p1,showdown,False,2,145.0,145.0,loose_aggressive
16,q,j,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'min_raise'), ('p1', 'fold')]",-5.0,10.0,15.0,p2,fold,False,3,145.0,140.0,loose_aggressive
17,j,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,5.0,20.0,p2,fold,False,3,145.0,135.0,loose_aggressive
18,q,j,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'min_raise'), ('p1', 'fold')]",-5.0,0.0,15.0,p2,fold,False,3,145.0,140.0,loose_aggressive
19,k,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,5.0,10.0,p1,showdown,False,2,145.0,145.0,loose_aggressive
20,q,j,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'min_raise'), ('p1', 'fold')]",-5.0,0.0,15.0,p2,fold,False,3,145.0,140.0,loose_aggressive
