hand_idx,p1_card,p2_card,p1_first_action,p1_actions,all_actions,reward_p1,cum_profit,pot_won,winner,ended_by,is_bluff,n_actions,agent_stack,opp_stack,opponent
0,q,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,-5.0,20.0,p2,fold,False,3,145.0,135.0,rock
1,k,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,0.0,10.0,p1,showdown,False,2,145.0,145.0,rock
2,j,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,-5.0,20.0,p2,fold,False,3,145.0,135.0,rock
3,j,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,-10.0,20.0,p2,fold,False,3,145.0,135.0,rock
4,q,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,-15.0,20.0,p2,fold,False,3,145.0,135.0,rock
5,k,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,-10.0,10.0,p1,showdown,False,2,145.0,145.0,rock
6,j,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,-15.0,20.0,p2,fold,False,3,145.0,135.0,rock
7,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,-10.0,10.0,p1,showdown,False,2,145.0,145.0,rock
8,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,-15.0,10.0,p2,showdown,False,2,145.0,145.0,rock
9,k,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,-10.0,10.0,p1,showdown,False,2,145.0,145.0,rock
10,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,-5.0,10.0,p1,showdown,False,2,145.0,145.0,rock
11,k,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,0.0,10.0,p1,showdown,False,2,145.0,145.0,rock
12,q,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,-5.0,20.0,p2,fold,False,3,145.0,135.0,rock
13,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,0.0,10.0,p1,showdown,False,2,145.0,145.0,rock
14,k,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,5.0,10.0,p1,showdown,False,2,145.0,145.0,rock
15,k,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,10.0,10.0,p1,showdown,False,2,145.0,145.0,rock
16,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,15.0,10.0,p1,showdown,False,2,145.0,145.0,rock
17,j,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,10.0,20.0,p2,fold,False,3,145.0,135.0,rock
18,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,15.0,10.0,p1,showdown,False,2,145.0,145.0,rock
19,k,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,20.0,10.0,p1,showdown,False,2,145.0,145.0,rock
20,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,25.0,10.0,p1,showdown,False,2,145.0,145.0,rock
21,j,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,20.0,20.0,p2,fold,False,3,145.0,135.0,rock
22,k,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,25.0,10.0,p1,showdown,False,2,145.0,145.0,rock
23,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,30.0,10.0,p1,showdown,False,2,145.0,145.0,rock
24,k,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,35.0,10.0,p1,showdown,False,2,145.0,145.0,rock
25,k,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,40.0,10.0,p1,showdown,False,2,145.0,145.0,rock
26,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,35.0,10.0,p2,showdown,False,2,145.0,145.0,rock
27,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,40.0,10.0,p1,showdown,False,2,145.0,145.0,rock
28,j,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,35.0,20.0,p2,fold,False,3,145.0,135.0,rock
29,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,30.0,10.0,p2,showdown,False,2,145.0,145.0,rock
30,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,25.0,10.0,p2,showdown,False,2,145.0,145.0,rock
31,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,30.0,10.0,p1,showdown,False,2,145.0,145.0,rock
32,k,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,35.0,10.0,p1,showdown,False,2,145.0,145.0,rock
33,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,30.0,10.0,p2,showdown,False,2,145.0,145.0,rock
34,k,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,35.0,10.0,p1,showdown,False,2,145.0,145.0,rock
35,j,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,30.0,20.0,p2,fold,False,3,145.0,135.0,rock
36,k,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,35.0,10.0,p1,showdown,False,2,145.0,145.0,rock
37,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,40.0,10.0,p1,showdown,False,2,145.0,145.0,rock
38,k,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,45.0,10.0,p1,showdown,False,2,145.0,145.0,rock
39,j,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,40.0,20.0,p2,fold,False,3,145.0,135.0,rock
40,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,45.0,10.0,p1,showdown,False,2,145.0,145.0,rock
41,k,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,50.0,10.0,p1,showdown,False,2,145.0,145.0,rock
42,j,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,45.0,20.0,p2,fold,False,3,145.0,135.0,rock
43,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,50.0,10.0,p1,showdown,False,2,145.0,145.0,rock
